time, Quad.Est.E.Pos, Quad.Est.S.Z
0.924992,0.088652,0.302828
0.929992,0.089082,0.302950
0.934992,0.089729,0.303134
0.939991,0.090161,0.303257
0.944991,0.090809,0.303443
0.949991,0.091241,0.303568
0.954991,0.091890,0.303757
0.959991,0.092322,0.303883
0.964991,0.092972,0.304074
0.969991,0.093405,0.304202
0.974991,0.094055,0.304394
0.979991,0.094489,0.304524
0.984991,0.095140,0.304719
0.989991,0.095575,0.304850
0.994991,0.096227,0.305047
0.999991,0.096662,0.305179
1.004991,0.108406,0.302551
1.009991,0.108883,0.302671
1.014991,0.109598,0.302851
1.019992,0.110075,0.302972
1.024992,0.110791,0.303154
1.029992,0.111267,0.303276
1.034992,0.111983,0.303460
1.039993,0.112461,0.303584
1.044993,0.113179,0.303770
1.049993,0.113657,0.303895
1.054993,0.114374,0.304083
1.059994,0.114853,0.304210
1.064994,0.115571,0.304400
1.069994,0.116050,0.304528
1.074994,0.116770,0.304720
1.079994,0.117250,0.304850
1.084995,0.117969,0.305044
